geoId,dateRep,year_week,cases,deaths,countriesAndTerritories,countryterritoryCode,popData2019,continentExp
AF,25/06/2020,2020-6,234,21,Afghanistan,AFG,38041757,Asia
AF,24/06/2020,2020-6,338,20,Afghanistan,AFG,38041757,Asia
AF,23/06/2020,2020-6,310,17,Afghanistan,AFG,38041757,Asia
AF,22/06/2020,2020-6,409,12,Afghanistan,AFG,38041757,Asia
AF,21/06/2020,2020-6,546,21,Afghanistan,AFG,38041757,Asia
AF,20/06/2020,2020-6,346,2,Afghanistan,AFG,38041757,Asia
AF,19/06/2020,2020-6,658,42,Afghanistan,AFG,38041757,Asia
AF,18/06/2020,2020-6,564,13,Afghanistan,AFG,38041757,Asia
AF,17/06/2020,2020-6,783,13,Afghanistan,AFG,38041757,Asia
AF,16/06/2020,2020-6,761,7,Afghanistan,AFG,38041757,Asia
AF,15/06/2020,2020-6,664,20,Afghanistan,AFG,38041757,Asia
AF,14/06/2020,2020-6,556,5,Afghanistan,AFG,38041757,Asia
AF,13/06/2020,2020-6,656,20,Afghanistan,AFG,38041757,Asia
AF,12/6/2020,2020-6,747,21,Afghanistan,AFG,38041757,Asia
AF,11/6/2020,2020-6,684,21,Afghanistan,AFG,38041757,Asia
AF,10/6/2020,2020-6,542,15,Afghanistan,AFG,38041757,Asia
AF,9/6/2020,2020-6,575,12,Afghanistan,AFG,38041757,Asia
AF,8/6/2020,2020-6,791,30,Afghanistan,AFG,38041757,Asia
AF,7/6/2020,2020-6,582,18,Afghanistan,AFG,38041757,Asia
AF,6/6/2020,2020-6,915,9,Afghanistan,AFG,38041757,Asia
AF,5/6/2020,2020-6,787,6,Afghanistan,AFG,38041757,Asia
AF,4/6/2020,2020-6,758,24,Afghanistan,AFG,38041757,Asia
AF,3/6/2020,2020-6,759,5,Afghanistan,AFG,38041757,Asia
AF,2/6/2020,2020-6,545,8,Afghanistan,AFG,38041757,Asia
AF,1/6/2020,2020-6,680,8,Afghanistan,AFG,38041757,Asia
AF,31/05/2020,2020-5,866,3,Afghanistan,AFG,38041757,Asia
AF,30/05/2020,2020-5,623,11,Afghanistan,AFG,38041757,Asia
AF,29/05/2020,2020-5,580,8,Afghanistan,AFG,38041757,Asia
AF,28/05/2020,2020-5,625,7,Afghanistan,AFG,38041757,Asia
AF,27/05/2020,2020-5,658,1,Afghanistan,AFG,38041757,Asia
AF,26/05/2020,2020-5,591,1,Afghanistan,AFG,38041757,Asia
AF,25/05/2020,2020-5,584,2,Afghanistan,AFG,38041757,Asia
AF,24/05/2020,2020-5,782,11,Afghanistan,AFG,38041757,Asia
AF,23/05/2020,2020-5,540,12,Afghanistan,AFG,38041757,Asia
AF,22/05/2020,2020-5,531,6,Afghanistan,AFG,38041757,Asia
AF,21/05/2020,2020-5,492,9,Afghanistan,AFG,38041757,Asia
AF,20/05/2020,2020-5,581,5,Afghanistan,AFG,38041757,Asia
AF,19/05/2020,2020-5,408,4,Afghanistan,AFG,38041757,Asia
AF,18/05/2020,2020-5,262,1,Afghanistan,AFG,38041757,Asia
AF,17/05/2020,2020-5,0,0,Afghanistan,AFG,38041757,Asia
AF,16/05/2020,2020-5,1063,32,Afghanistan,AFG,38041757,Asia
AF,15/05/2020,2020-5,113,6,Afghanistan,AFG,38041757,Asia
AF,14/05/2020,2020-5,259,3,Afghanistan,AFG,38041757,Asia
AF,13/05/2020,2020-5,280,5,Afghanistan,AFG,38041757,Asia
AF,12/5/2020,2020-5,285,2,Afghanistan,AFG,38041757,Asia
AF,11/5/2020,2020-5,369,5,Afghanistan,AFG,38041757,Asia
AF,10/5/2020,2020-5,255,6,Afghanistan,AFG,38041757,Asia
AF,9/5/2020,2020-5,215,3,Afghanistan,AFG,38041757,Asia
AF,8/5/2020,2020-5,171,2,Afghanistan,AFG,38041757,Asia
AF,7/5/2020,2020-5,168,9,Afghanistan,AFG,38041757,Asia
AF,6/5/2020,2020-5,330,5,Afghanistan,AFG,38041757,Asia
AF,5/5/2020,2020-5,190,5,Afghanistan,AFG,38041757,Asia
AF,4/5/2020,2020-5,235,13,Afghanistan,AFG,38041757,Asia
AF,3/5/2020,2020-5,134,4,Afghanistan,AFG,38041757,Asia
AF,2/5/2020,2020-5,164,4,Afghanistan,AFG,38041757,Asia
AF,1/5/2020,2020-5,222,4,Afghanistan,AFG,38041757,Asia
AF,30/04/2020,2020-4,122,0,Afghanistan,AFG,38041757,Asia
AF,29/04/2020,2020-4,124,3,Afghanistan,AFG,38041757,Asia
AF,28/04/2020,2020-4,172,0,Afghanistan,AFG,38041757,Asia
AF,27/04/2020,2020-4,68,10,Afghanistan,AFG,38041757,Asia
AF,26/04/2020,2020-4,112,4,Afghanistan,AFG,38041757,Asia
AF,25/04/2020,2020-4,70,1,Afghanistan,AFG,38041757,Asia
AF,24/04/2020,2020-4,105,2,Afghanistan,AFG,38041757,Asia
AF,23/04/2020,2020-4,84,4,Afghanistan,AFG,38041757,Asia
AF,22/04/2020,2020-4,61,1,Afghanistan,AFG,38041757,Asia
AF,21/04/2020,2020-4,35,2,Afghanistan,AFG,38041757,Asia
AF,20/04/2020,2020-4,88,3,Afghanistan,AFG,38041757,Asia
AF,19/04/2020,2020-4,63,0,Afghanistan,AFG,38041757,Asia
AF,18/04/2020,2020-4,51,1,Afghanistan,AFG,38041757,Asia
AF,17/04/2020,2020-4,10,4,Afghanistan,AFG,38041757,Asia
AF,16/04/2020,2020-4,70,2,Afghanistan,AFG,38041757,Asia
AF,15/04/2020,2020-4,49,2,Afghanistan,AFG,38041757,Asia
AF,14/04/2020,2020-4,58,3,Afghanistan,AFG,38041757,Asia
AF,13/04/2020,2020-4,52,0,Afghanistan,AFG,38041757,Asia
AF,12/4/2020,2020-4,34,3,Afghanistan,AFG,38041757,Asia
AF,11/4/2020,2020-4,37,0,Afghanistan,AFG,38041757,Asia
AF,10/4/2020,2020-4,61,1,Afghanistan,AFG,38041757,Asia
AF,9/4/2020,2020-4,56,3,Afghanistan,AFG,38041757,Asia
AF,8/4/2020,2020-4,30,4,Afghanistan,AFG,38041757,Asia
AF,7/4/2020,2020-4,38,0,Afghanistan,AFG,38041757,Asia
AF,6/4/2020,2020-4,29,2,Afghanistan,AFG,38041757,Asia
AF,5/4/2020,2020-4,35,1,Afghanistan,AFG,38041757,Asia
AF,4/4/2020,2020-4,0,0,Afghanistan,AFG,38041757,Asia
AF,3/4/2020,2020-4,43,0,Afghanistan,AFG,38041757,Asia
AF,2/4/2020,2020-4,26,0,Afghanistan,AFG,38041757,Asia
AF,1/4/2020,2020-4,25,0,Afghanistan,AFG,38041757,Asia
AF,31/03/2020,2020-3,27,0,Afghanistan,AFG,38041757,Asia
AF,30/03/2020,2020-3,8,1,Afghanistan,AFG,38041757,Asia
AF,29/03/2020,2020-3,15,1,Afghanistan,AFG,38041757,Asia
AF,28/03/2020,2020-3,16,1,Afghanistan,AFG,38041757,Asia
AF,27/03/2020,2020-3,0,0,Afghanistan,AFG,38041757,Asia
AF,26/03/2020,2020-3,33,0,Afghanistan,AFG,38041757,Asia
AF,25/03/2020,2020-3,2,0,Afghanistan,AFG,38041757,Asia
AF,24/03/2020,2020-3,6,1,Afghanistan,AFG,38041757,Asia
AF,23/03/2020,2020-3,10,0,Afghanistan,AFG,38041757,Asia
AF,22/03/2020,2020-3,0,0,Afghanistan,AFG,38041757,Asia
AF,21/03/2020,2020-3,2,0,Afghanistan,AFG,38041757,Asia
AF,20/03/2020,2020-3,0,0,Afghanistan,AFG,38041757,Asia
AF,19/03/2020,2020-3,0,0,Afghanistan,AFG,38041757,Asia
AF,18/03/2020,2020-3,1,0,Afghanistan,AFG,38041757,Asia
AF,17/03/2020,2020-3,5,0,Afghanistan,AFG,38041757,Asia
AF,16/03/2020,2020-3,6,0,Afghanistan,AFG,38041757,Asia
AF,15/03/2020,2020-3,3,0,Afghanistan,AFG,38041757,Asia
AF,11/3/2020,2020-3,3,0,Afghanistan,AFG,38041757,Asia
AF,8/3/2020,2020-3,3,0,Afghanistan,AFG,38041757,Asia
AF,2/3/2020,2020-3,0,0,Afghanistan,AFG,38041757,Asia
AF,1/3/2020,2020-3,0,0,Afghanistan,AFG,38041757,Asia
AF,29/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,28/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,27/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,26/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,25/02/2020,2020-2,1,0,Afghanistan,AFG,38041757,Asia
AF,24/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,23/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,22/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,21/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,20/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,19/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,18/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,17/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,16/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,15/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,14/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,13/02/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,12/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,11/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,10/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,9/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,8/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,7/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,6/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,5/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,4/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,3/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,2/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,1/2/2020,2020-2,0,0,Afghanistan,AFG,38041757,Asia
AF,31/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,30/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,29/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,28/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,27/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,26/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,25/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,24/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,23/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,22/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,21/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,20/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,19/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,18/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,17/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,16/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,15/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,14/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,13/01/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,12/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,11/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,10/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,9/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,8/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,7/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,6/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,5/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,4/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,3/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,2/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,1/1/2020,2020-1,0,0,Afghanistan,AFG,38041757,Asia
AF,31/12/2019,2019-12,0,0,Afghanistan,AFG,38041757,Asia
AL,14/12/2020,2020-12,788,14,Albania,ALB,2862427,Europe
AL,13/12/2020,2020-12,879,12,Albania,ALB,2862427,Europe
AL,12/12/2020,2020-12,802,12,Albania,ALB,2862427,Europe
AL,11/12/2020,2020-12,873,14,Albania,ALB,2862427,Europe
AL,10/12/2020,2020-12,752,15,Albania,ALB,2862427,Europe
AL,9/12/2020,2020-12,753,14,Albania,ALB,2862427,Europe
AL,8/12/2020,2020-12,695,17,Albania,ALB,2862427,Europe
AL,7/12/2020,2020-12,840,16,Albania,ALB,2862427,Europe
AL,6/12/2020,2020-12,846,19,Albania,ALB,2862427,Europe
AL,5/12/2020,2020-12,801,18,Albania,ALB,2862427,Europe
AL,4/12/2020,2020-12,782,13,Albania,ALB,2862427,Europe
AL,3/12/2020,2020-12,705,17,Albania,ALB,2862427,Europe
AL,2/12/2020,2020-12,832,12,Albania,ALB,2862427,Europe
